route_id,stop_name,stop_order
11-C,Safoora Goth,18
11-D,Power House,1
11-D,Nursery,2
11-D,Saddar,3
11-D,Tower,4
11-D,Al-Noor Gulberg,5
11-D,Water Pump,6
11-D,Karimabad,7
11-D,Dockyard,8
11-E,Water Pump,1
11-E,Lalukhat,2
11-E,Teen Hatti,3
11-E,Guru Mandir,4
11-E,Saddar,5
11-E,Tower,6
11-E,Dockyard,7
13,Drigh Colony Sector No 3,1
13,Iqbal Shaheed Road,2
13,Fleet Club,3
13,Nursery,4
13-B,Drigh Colony sector No 3,1
13-B,Drigh Road Station,2
13-B,Karsaz lal kothi,3
13-B,Nursery,4
13-B,Shahrah-e-qaideen,5
13-B,Numaish,6
13-B,Tower,7
13-B,Wood street,8
13-B,Frere Road,9
13-B,Burns Road,10
13-B,M.A jinnah Road,11
16-F,Nasir Colony,1
16-F,Landhi No. 1,2
16-F,Malir,3
16-F,Drigh Road,4
16-F,Cantt Station,5
16-F,Karsaz,6
16-F,National Stadium,7
16-F,Civic Centre,8
16-F,Liaquatabad No. 16,9
16-F,Aisha Manzil,10
16-F,Water Pump,11
16-F,Sohrab Goth,12
16-F,Power House,13
16-F,New Karachi,14
16-F,Godhra Camp,15
16-F_v2,Nasir Colony,1
16-F_v2,Korangi No 4,2
16-F_v2,Korangi No 6,3
16-F_v2,Landhi No 1,4
16-F_v2,Malir,5
16-F_v2,Drigh Road,6
16-F_v2,Karsaz,7
16-F_v2,National stadium,8
16-F_v2,Civic Centre,9
16-F_v2,Liaquatabad No 10,10
16-F_v2,Karimabad,11
16-F_v2,Aisha manzil,12
16-F_v2,Water Pump,13
16-F_v2,Sohrab goth,14
16-F_v2,Power house,15
16-F_v2,Godhra camp,16
17-H,Saddar,1
17-H,Jinnah central hospital,2
17-H,Kalapul,3
17-H,Korangi Road,4
17-H,Korangi No 5-1/2,5
17-H,Dhobi Ghat,6
17-I,Ghouspak,1
17-I,Coast guard,2
17-I,Korangi No 2,3
17-I,Nasir Colony,4
17-I,Chamra Chowrangi,5
17-I,Jam saddiq ali bridge,6
17-I,Akhtar Colony,7
17-I,Kalapul,8
17-I,Jinnah hospital,9
17-I,Lucky star,10
17-I,Saddar,11
17-I,Dr. Dowood pota Road,12
17-I,M.A jinnah Road,13
17-I,Guru Mandir,14
17-I,Islamia college,15
17-I,Jail Road,16
17-I,Agha khan hospital,17
17-I,Dalmia,18
17-I,Driven Cinema,19
17-I,Rashid minhas Road,20
17-I,N.I.P.A,21
17-I,Safari Park,22
17-I,Gulistan-e-Jauher,23
17-I,Pehalwan Goth,24
17-I_v2,Khadda Quarters,1
17-I_v2,Market No. 6,2
17-I_v2,Tasweer Mahal,3
17-I_v2,100 Quarters,4
17-I_v2,Dhobi Ghat,5
17-I_v2,Korangi No. 6,6
17-I_v2,Qayumabad,7
17-I_v2,Defence Society,8
17-I_v2,Jinnah Hospital,9
17-I_v2,Raja Ghazanfar Ali Road,10
17-J,Babar Market,1
17-J,Landhi No. 3 1/2,2
17-J,Landhi No. 5,3
17-J,Korangi No. 6,4
17-J,Korangi No. 5,5
17-J,Korangi No. 3,6
17-J,Korangi No. 1,7
17-J,Korangi Crossing,8
17-J,Qayumabad,9
17-J,Akhtak Colony,10
17-J,Defence Society,11
17-J,Kala Pul,12
17-J,Jinnah Hospital,13
17-J,Luck Star Hotel,14
17-J,Hijaz Dairy Farm,15
17-J_v2,Babar Market,1
17-J_v2,Landhi 3-1/2,2
17-J_v2,Landhi No 5,3
17-J_v2,Korangi No 6,4
17-J_v2,Korangi No 5,5
17-J_v2,Korangi No 3,6
17-J_v2,Korangi No 1,7
17-J_v2,Korangi Crossing,8
17-J_v2,Qayumabad,9
17-J_v2,Akhtar Colony,10
17-J_v2,Defence society,11
17-J_v2,Kalapul,12
17-J_v2,Jinnah hospital,13
17-J_v2,lucky star,14
17-K,Khadda quaters,1
17-K,Market No 6,2
17-K,Tasweer mahal,3
17-K,Dhobi ghat,4
17-K,Korangi No 6,5
17-K,Qayumabad,6
17-K,Defence society,7
17-K,Jinnah hospital,8
17-K,Raja Ghazanfar Ali Road,9
18-K,Surjani Town,1
18-K,Nagan Chowrangi,2
18-K,Sohrab Goth,3
18-K,N.I.P.A Chowrangi,4
18-K,Malir,5
18-K,Quaidabad,6
18-K,Landhi,7
18-K,Korangi,8
18-K_v2,Surjani Town,1
18-K_v2,Nagan Chowrangi,2
18-K_v2,Sohrab Goth,3
18-K_v2,N.I.P.A Chowrangi,4
18-K_v2,Gulshan-e-Iqbal,5
18-K_v2,Malir,6
18-K_v2,Quaidabad,7
18-K_v2,Landhi,8
18-K_v2,Korangi,9
19-B,P.A.T Colony,1
19-B,Clifton bridge,2
19-B,Bleak house Road,3
19-B,Cantt Station,4
19-B,Frere Road,5
19-B,Burns Road,6
19-B,S.M college,7
19-B,Mcleod Road,8
19-B,Tower,9
19-B,Kemari,10
19-C,Faqir Colony,1
19-C,Mohajir camp No 7-1/2,2
19-C,Shershah,3
19-C,Estate avenue,4
19-C,Habib bank,5
19-C,Nazimabad No 2,6
19-C,Liaquatabad No 10,7
19-C,Essa nagari,8
19-C,Hasan square,9
19-C,Sabzi mandi,10
19-C,Bahadurabad,11
19-C,Tariq Road,12
19-C,Shahrah-e-qaideen,13
19-C,Khudadad Colony,14
19-C,Jigar muradavadi Road,15
19-C,Society office,16
19-D,Faqir Colony,1
19-D,Ruby cinema,2
19-D,Hub river Road,3
19-D,Shershah,4
19-D,Chakiwara,5
19-D,Lee Market,6
19-D,Haji camp,7
19-D,Jamila street,8
19-D,Nishter Road,9
19-D,Baba-e-urdu Road,10
19-D,Shahrah-e-liaquat,11
19-D,Fresco Chowk,12
19-D,Mohammad bin qasim Road,13
19-D,M.A jinnah Road,14
19-D,Mansfield street,15
19-D,Empress Market,16
19-D,Mir karam Ali Talpur Road,17
19-D,Wellington Street,18
19-D,Cantt Station,19
19-D,Clifton,20
19-D,Delhi Colony,21
19-D,Gizri,22
19-E,Gizri,1
19-E,Delhi Colony,2
19-E,Clifton bridge,3
19-E,Cantt Station,4
19-E,Frere Road,5
19-E,Burns Road,6
19-E,Tower,7
19-E,Kharadar,8
19-E,Lee Market,9
19-E,Chaliwara,10
19-E,Shershah,11
19-E,Mohajir camp,12
19-E,Saeedabad,13
2-D,Federal B. Area,1
2-D,Noorani Masjid,2
2-D,Peoples Colony,3
2-D,Imam Bara,4
2-D,Humayun Road,5
2-D,K.D.A Office,6
2-D,North Nazimabad,7
2-D,Board Office,8
2-D,Nazimabad No. 7,9
2-D,Petrol Pump,10
2-D,Lasbella,11
2-D,Sabil Wali Masjid,12
2-D,Soldier Bazar,13
2-D,Saddar,14
2-D,Frere Road,15
2-D,M.W Tower,16
2-D,Noorani Masjid,17
2-K,North Nazimabad Block M,1
2-K,Shahra-e-Jehangir,2
2-K,Water Pump,3
2-K,Hyderi,4
2-K,Paposh Nagar,5
2-K,Bara Maidan,6
2-K,Nazimabad No. 2,7
2-K,Petrol Pump,8
2-K,Guru Mandir,9
2-K,Saddar,10
2-K,Burns Road,11
2-K,Mereweather Tower,12
2-K,Keamari,13
20,Shirin jinnah Colony,1
20,Clifton,2
20,Mehata palace,3
20,Clifton bridge,4
20,Bagh-e-jinnah,5
20,Metropole hotel,6
20,Lucky star,7
20,Saddar,8
20,Garden,9
20,Old golimar,10
20,Bara Board,11
20,Habib bank,12
20,Valika stop,13
20,Police Station,14
20,S.I.T.E,15
20,Labour square,16
20,Rashidabad,17
21,Lucky star(Asghar shaheed Road),1
21,Shahrah-e-iraq,2
21,Mir karam ali talpur Road,3
21,Cantt Station,4
21,Meshang Road,5
21,Kutchery Road,6
21,New Queens way,7
21,Native jetty,8
21,Tower,9
21,Dockyard,10
22,Behar Colony,1
22,Hasan Road,2
22,Meesa lane,3
22,Kharadar,4
22,M.W tower,5
22,Dockyard,6
22-A,Rashidabad,1
22-A,Bihar Colony,2
22-A,Ghani Chowrangi,3
22-A,Shershah,4
22-A,Chakiwara,5
22-A,Lee Market,6
22-A,Herchandrai Road,7
22-A,Haji camp Road,8
22-A,Nishter Road,9
22-A,Baba-e-urdu,10
22-A,Frere Road,11
22-A,Court Road,12
22-A,Sarwar shaheed Road,13
22-A,Shahrah-e-iraq,14
22-A,Masjid-e-khizra,15
22-A,Burns Road,16
22-A,M.A jinnah Road,17
22-A,Cantt Station,18
22-B,Agra taj Colony,1
22-B,Kalri,2
22-B,Baghdadi,3
22-B,Meesa lane,4
22-B,Kharadar,5
22-B,Khajeer Bazar,6
22-B,Lea Market,7
22-B,Purani haji camp,8
22-B,Ranchore lines,9
22-B,Sho Market,10
22-B,Garden,11
22-B,Pakistan quaters,12
22-B,Khaja jamat khana,13
22-B,Lasbela,14
22-B,Teen hatti,15
22-B,New Town,16
22-B,Liaquat hospital,17
22-B,Dhoraji society,18
22-B,National stadium,19
22-B,National Cement Factory,20
22-B,Naval Quaters,21
22-B,Labour Quaters,22
22-B,Drigh Road,23
22-B,Natha khan Goth,24
22-B,Air Port,25
22-B,Malir,26
22-B,Landhi,27
22-B,Quaidabad,28
22-B,Qazafi Town,29
23,Nursery,1
23,frere Road,2
23,Tower,3
23,Wazir mansion,4
23,Gulbai,5
23-A,Tower,1
23-A,Gulbai,2
23-A,Grazy Colony,3
23-A,Naval Colony,4
23-A,Mauripur,5
24,Shahrah-e-iraq,1
24,Frere Road,2
24,Empress Market,3
24,Mansfield street,4
24,Bunder Road,5
24,Guru Mandir,6
24,Teen hatti,7
24,Lasbela,8
24,Golimar,9
24,Nazimabad,10
24,Habib bank,11
24,Valika mills,12
24,Bawani textile mills,13
24,Habib mills,14
24,A.B biscuit factory,15
24,Polytechnic college,16
24,Shershah,17
24,Baldia Colony,18
24,Saeedabad,19
24-A,Court Road,1
24-A,Frere Road,2
24-A,Empress Market,3
24-A,Mansfield street,4
24-A,Bunder Road,5
24-A,Guru mandir,6
24-A,Nazimabad,7
24-A,Habib bank,8
24-A,Valikaa mills,9
24-A,Bawani textile mills,10
24-A,Habib mills,11
24-A,A.B biscuit factory,12
24-A,Polytechnic college,13
24-A,Shershah,14
24-A,Baldia Colony,15
24-A,Saeedabad,16
3,Nusrat Bhutto Colony,1
3,Abdullah College,2
3,Paposh Nagar,3
3,Bara Maidan,4
3,Nazimabad No. 2,5
3,Petrol Pump,6
3,Lasbela,7
3,Patel Para,8
3,Goro Mandir,9
3,M.A Jinnah Road,10
3,Tower Keamari,11
3 Star Coach,Al-Azam Town,1
3 Star Coach,Gulshan Chowrangi,2
3 Star Coach,N.I.P.A,3
3 Star Coach,Civic Centre,4
3 Star Coach,Sabzi Mandi,5
3 Star Coach,Bahadurabad,6
3 Star Coach,Tariq Road,7
3 Star Coach,F.T.C,8
3 Star Coach,Fuwara Chowk,9
3 Star Coach,I.I Chundrigar Road,10
3 Star Coach,Tower,11
3 Star Coach,Dockyard,12
3-K,Nusrat Bhutto Colony,1
3-K,Abdullah College,2
3-K,Paposh Nagar,3
3-K,Bara Maidan,4
3-K,Nazimabad No. 2,5
3-K,Petrol Pump,6
3-K,Guru Mandir,7
3-K,M.A Jinnah Road,8
3-K,Tower,9
3-K,Keamari,10
4,New Karachi,1
4,K.D.A Office,2
4,Al-Hyderi,3
4,State Bank Quarters,4
4,Nazimabad Chowrangi 2,5
4,Nazimabad Chowrangi 1,6
4,Lawrence Road,7
4,Bandar Road,8
4,Tower,9
4-A,Nai Abadi,1
4-A,Gulshan-e-Saeed Hassan,2
4-A,North Karachi Sector No. 5-I,3
4-A,Two Minutes Chowrangi,4
4-A,Kala School,5
4-A,A.P.W.A School,6
4-A,New Karachi No. 1,7
4-A,New Karachi No. 2,8
4-A,New Karachi No. 3,9
4-A,Sakhi Hassan,10
4-A,Water Pump,11
4-A,Hyderi,12
4-A,K.D.A Office,13
4-A,Petrol Pump,14
4-A,Nazimabad,15
4-A,Habib Bank,16
4-A,Shershah,17
4-A,Agra Taj Colony,18
4-A,Baghdadi,19
4-A,Kharadar,20
4-A,Tower,21
4-A,Kemari,22
4-B,New Karachi,1
4-B,Industrial Area,2
4-B,Karimabad,3
4-B,Liaquatabad,4
4-B,Teen Hatti,5
4-B,Goro Mandir,6
4-B,M.A Jinnah Road,7
4-B,Bandar Road,8
4-B,Preedy Street,9
4-B,Police Station,10
4-B,Saddar,11
4-C,New Karachi Block 5-F,1
4-C,Industrial Area,2
4-C,Karimabad,3
4-C,Liaquatabad,4
4-C,Teen Hatti,5
4-C,Goro Mandir,6
4-C,M.A Jinnah Road,7
4-C,Bandar Road,8
4-C,Preedy Street,9
4-C,Police Station,10
4-C,Saddar,11
4-D,New Karachi Sector 5-D,1
4-D,K.D.A Office,2
4-D,Al-Hyderi,3
4-D,State Bank Quarters,4
4-D,Nazimabad,5
4-D,Lasbela House,6
4-D,Ojha Road,7
4-D,Goro Mandir,8
4-D,Empress Market,9
4-D,Frere Road,10
4-D,Buns Road,11
4-D,Bandar Road,12
4-D,Tower,13
4-F,New Karachi Sector 5-E,1
4-F,New Karachi Sector 5-D,2
4-F,Sindhi Hotel,3
4-F,New Karachi Sector 5,4
4-F,New Karachi Sector II-C,5
4-F,Karimabad,6
4-F,Liaquatabad,7
4-F,Teen Hatti,8
4-F,Jehangir Road,9
4-F,Old Exhibition,10
4-F,Plaza,11
4-F,Regal Cinema,12
4-G,Nai Abadi,1
4-G,Karella Mour,2
4-G,Power House,3
4-G,Saleem Centre,4
4-G,U.P Mour,5
4-G,Nagan Chowrangi,6
4-G,Sakhi Hassan,7
4-G,Hyderi,8
4-G,Board Office,9
4-G,Petrol Pump,10
4-G,Liaquat No. 10,11
4-G,Post Office,12
4-G,Teen Hatti,13
4-G,Goro Mandir,14
4-G,Numaish,15
4-G,Saddar,16
4-G,Empress Market,17
4-G,Frere Road,18
4-G,Buns Road,19
4-G,M.A Jinnah Road,20
4-G,Tower,21
4-H,Surjani Town,1
4-H,Yosuf Goth,2
4-H,Lal Market,3
4-H,New Karachi,4
4-H,Water Pump,5
4-H,Karimabad,6
4-H,Liaquatabad No. 10,7
4-H,Teen Hatti,8
4-H,Goro Mandir,9
4-H,7th Day Hospital,10
4-H,Empress Market,11
4-H,Lucky Star,12
4-H,Jinnah Hospital,13
4-H,Cantt Stations,14
4-H,Clifton Bridge,15
4-H,Gizri,16
4-H,Ack Ack School,17
4-J,Nai Abadi,1
4-J,Saleem Centre,2
4-J,Nagan Chowrangi,3
4-J,Sakhi Hassan,4
4-J,Hyderi,5
4-J,Board Office,6
4-J,Petrol Pump,7
4-J,Liaquatabad,8
4-J,Goro Mandir,9
4-J,M.A Jinnah Road,10
4-J,Dockyard,11
4-J,Tower,12
4-K,Kali Market,1
4-K,New Karachi,2
4-K,K.D.A Office,3
4-K,Al-Hyderi,4
4-K,State Bank Quarters,5
4-K,Nazimabad Chowrangi,6
4-K,Napier Road,7
4-K,Bander Road,8
4-K,Tower,9
4-L,Maymar Complex,1
4-L,Al-Asif Plaza,2
4-L,Sohrab Goth,3
4-L,Water Pump,4
4-L,Karimabad,5
4-L,Liaquatabad,6
4-L,Teen Hatti,7
4-L,Numaish,8
4-L,Saddar,9
4-L,Empress Market,10
4-L,Buns Road,11
4-L,M.A.Jinnah Road,12
4-L,Tower,13
4-M,Nai Abadi,1
4-M,Nagan Chowrangi,2
4-M,Sakhi Hassan,3
4-M,Gulberg,4
4-M,Water Pump,5
4-M,Karimabad,6
4-M,Liaquatabad,7
4-M,Teen Hatti,8
4-M,Sabilwali Masjid,9
4-M,Purani Numaish,10
4-M,M.A Jinnah Road,11
4-M,Capri Cinema,12
4-M,Mansfield Street,13
4-M,Preedy Street,14
4-M,Mir Karim Ali Talpur Road,15
4-M,Fleet Club,16
4-M,Jinnah Hospital,17
4-M,Cantt Station,18
4-N,Lal Market 5-F,1
4-N,Al-Hyderi,2
4-N,Nazimabad,3
4-N,Golimar,4
4-N,Lasbela,5
4-N,Goro Mandir,6
4-N,M.A Jinnah Road,7
4-N,Empress Market,8
4-N,Regal,9
4-N,Saeed Manzil,10
4-N,Bandar Road,11
4-N,Tower,12
4-P,Sweeper Colony,1
4-P,Sindhi Hotel,2
4-P,Godhra Camp,3
4-P,Power House,4
4-P,Sohrab Goth,5
4-P,Water Pump,6
4-P,Karimabad,7
4-P,Lalukhet No. 10,8
4-P,Teen Hatti,9
4-P,Lasbela,10
4-P,Garden,11
4-P,Ranchore Lane,12
4-P,Juna Market,13
4-P,Dens Hall,14
4-P,Tower,15
4-P,Dockyard,16
4-Q,Filter Plant,1
4-Q,Sohrab Goth,2
4-Q,Karimabad,3
4-Q,Liaquatabad,4
4-Q,Teen Hatti,5
4-Q,Goro Mandir,6
4-Q,M.A Jinnah Road,7
4-Q,Tower,8
4-Q,Keamari,9
4-S,Surjani Town,1
4-S,Two Minutes Chowrangi,2
4-S,Saleem Centre,3
4-S,U.P Mour,4
4-S,Nagan Chowrangi,5
4-S,Shadman Town,6
4-S,Sakhi Hassan,7
4-S,Hyderi,8
4-S,Board Office,9
4-S,Nazimabad No. 7,10
4-S,Nazimabad No. 6,11
4-S,Nazimabad Chowrangi,12
4-S,Lasbela House,13
4-S,Goro Mandir,14
4-S,Numaish,15
4-S,M.A Jinnah Road,16
4-S,Eidgah,17
4-S,Tower,18
5,Al-Noor Society,1
5,New Karachi,2
5,Aisha Manzil,3
5,North Nazimabad,4
5,Fedral B. Area Block-H Chowrangi,5
5,Imam Bara,6
5,Hussaini Sajjadia Chowrangi,7
5,Moosa Colony,8
5,A.P.W.A Girls College,9
5,Karimabad Chowrangi,10
5,Liaquatabad,11
5,Teen Hatti,12
5,Goro Mandir,13
5,M.A Jinnah Road,14
5,Bandar Road,15
5,Keamari,16
5-A,Ack Ack School,1
5-A,Gizri,2
5-A,Clifton,3
5-A,Bleak House Road,4
5-A,Cantt Station,5
5-A,Sarwar Shaheed Road,6
5-A,Court Road,7
5-A,Bander Road,8
5-A,Tower,9
5-A,Bangali Oil mills,10
5-A,Paracha Mill,11
5-A,Baldia Colony No. 6,12
5-A,Baldia Colony No. 7,13
5-A,Qabrustan,14
5-A,Chandni Chowk,15
5-A,Ruby Cinema,16
5-A,Saeedabad,17
5-A_v2,Fedral B. Area,1
5-A_v2,Liaquatabad,2
5-A_v2,Teen Hatti,3
5-A_v2,Goro Mandir,4
5-A_v2,M.A Jinnah Road,5
5-A_v2,Bandar Road,6
5-A_v2,Tower,7
5-A_v2,Dockyard,8
5-B,Ittehad Town,1
5-B,Nai Abadi,2
5-B,Balda Colony,3
5-B,National Motors,4
5-B,Shershah,5
5-B,Chakiwara,6
5-B,Lee Market,7
5-B,Old Haji Camp Road,8
5-B,Nishter Road,9
5-B,Teen Hatti,10
5-B,Liaquatabad No. 10,11
5-B,Gharibabad,12
5-B,Hassan Square,13
5-B,Sabzi Mandi,14
5-C,Gulberg Colony,1
5-C,Rahimabad,2
5-C,K.D.A Pump House,3
5-C,Wahadat Colony,4
5-C,Saghirabad,5
5-C,Nasirabad,6
5-C,Dastagir Colony,7
5-C,Azizabad,8
5-C,Liaquatabad,9
5-C,Teen Hatti,10
5-C,Goro Mandir,11
5-C,M.A Jinnah Road,12
5-C,Frere Street,13
5-C,Preedt Street,14
5-C,Frere Road,15
5-C,Buns Road,16
5-C,Tower,17
5-D,Fedral B. Area,1
5-D,Liaquatabad No. 10,2
5-D,Teen Hatti,3
5-D,Goro Mandir,4
5-D,Old Exhibition,5
5-D,Empress Market,6
5-D,Frere Road,7
5-D,Buns Road,8
5-D,Bandar Road,9
5-D,Tower,10
5-D,Dockyard,11
5-E,Surjani Town,1
5-E,Kala School,2
5-E,U.P Mour,3
5-E,Nagan Chowrangi,4
5-E,Power House,5
5-E,Sohrab Goth,6
5-E,Karimabad,7
5-E,Liaquatabad No. 10,8
5-E,Liaquatabad Post Office,9
5-E,Teen Hatti,10
5-E,P.I.B Colony,11
5-F,Al-Noor Society,1
5-F,Water Pump,2
5-F,Aisha Manzil,3
5-F,North Nazimabad,4
5-F,Al-Hyderi,5
5-F,Altaf Nagar,6
5-F,Bara Maidan,7
5-F,Goro Mandir,8
5-F,Old Exhibition,9
5-F,Empress Market,10
5-F,Frere Road,11
5-F,Buns Road,12
5-F,Bandar Road,13
5-F,Tower,14
5-F,Keamari,15
5-G,New KarachiSector II-E Area,1
5-G,Power House,2
5-G,Al-Noor Society,3
5-G,Gulberg,4
5-G,Water Pump,5
5-G,Liaquatabad,6
5-G,Teen Hatti,7
5-G,Lawrence Road,8
5-G,Haji Camp Road,9
5-G,Lee Market,10
5-G,Shershah,11
5-G,Delhi Colony,12
5-K,Surjani Town,1
5-K,Two Minutes Chowrangi,2
5-K,Power House,3
5-K,Nagan Chowrangi,4
5-K,Buffer Zone,5
5-K,Sohrab Goth,6
5-K,Saghir Centre,7
5-K,Fazal Mills,8
5-K,Rashid Minhas Road,9
5-K,Drigh Road,10
5-K,Station,11
5-K,Shahra-e-Faisal,12
5-K,Star Gate,13
5-K,Malir Halt,14
5-K,Malir No. 15,15
5-K,Quaidabad,16
5-K,Dawood Chowrangi,17
5-K,Landhi 89,18
5-K,Bilal Chowrangi hospital,19
5-K,Labour Square,20
50,Memon goth,1
50,Malir city,2
50,National highway,3
50,Dalmia cement factory,4
50,Jail Road,5
50,Lawrence Road,6
50,Haji camp Road,7
50,Moch Goth,8
50-A,Hashim Goth,1
50-A,Memon goth,2
50-A,Malir city,3
50-A,National highway,4
50-A,Dalmia cement factory,5
50-A,Jail Road,6
50-A,Lawrence Road,7
50-A,Haji camp Road,8
50-A,Lee Market,9
50-B,Moach goth,1
50-B,Haji camp Road,2
50-B,Lawrance Road,3
50-B,Garden,4
50-B,Lasbela,5
50-B,Teen hatti,6
50-B,Jail Road,7
50-B,Dalimia cement factory Road,8
50-B,National highway,9
50-B,Kala Board,10
50-B,Saudabad,11
50-B,Mian dad goth,12
50-C,Ittefaq Colony Malir,1
50-C,Gharibabad,2
50-C,Khokhrapar No 1,3
50-C,Khokhrapar No 2,4
50-C,Khokhrapar No 3,5
50-C,Khokhrapar No 4,6
50-C,Saudabad,7
50-C,Jinnah square,8
50-C,Malir malt,9
50-C,Cheta gate,10
